period,school,school_en,department,department_en,degree,degree_en,status,distinction,distinction_en
2025/4 -,東京科学大学,Institute of Science Tokyo,情報理工学院 情報工学系 知能情報コース,School of Computing - Computer Science - Artificial Intelligence,工学修士,M.Eng.,在学中,,
2021/4 - 2025/3,東京工業大学,Tokyo Institute of Technology,情報理工学院 情報工学系,School of Computing - Computer Science,工学学士,B.Eng.,修了,副代表,Deputy Representative
